Cidade,Área,Quartos,Banheiros,Garagem,Andar,Animal,Mobília
São Paulo,99,2,1,1,-,acept,not furnished
São Paulo,84,3,2,2,10,acept,not furnished
São Paulo,161,4,3,3,-,acept,not furnished
São Paulo,53,2,1,1,5,acept,not furnished
Rio de Janeiro,16,1,1,0,9,acept,furnished
São Paulo,36,1,1,1,1,acept,not furnished
Rio de Janeiro,50,1,1,1,1,acept,not furnished
Porto Alegre,70,3,1,1,9,not acept,not furnished
São Paulo,105,3,2,2,5,acept,not furnished
São Paulo,30,1,1,0,7,not acept,not furnished
São Paulo,216,4,4,3,3,not acept,furnished
Belo Horizonte,50,3,1,1,4,acept,not furnished
São Paulo,250,3,4,2,1,not acept,not furnished
São Paulo,230,3,3,2,-,acept,not furnished
São Paulo,157,3,2,0,7,acept,not furnished
Porto Alegre,150,3,3,0,2,not acept,furnished
São Paulo,110,3,2,0,1,acept,furnished
São Paulo,193,4,3,3,10,acept,furnished
São Paulo,114,2,2,2,15,acept,furnished
Porto Alegre,92,2,2,1,8,not acept,furnished
São Paulo,75,3,3,0,12,acept,not furnished
São Paulo,270,2,2,3,-,acept,not furnished
Campinas,80,2,2,1,8,acept,furnished
Porto Alegre,90,4,2,1,3,not acept,not furnished
Rio de Janeiro,130,3,3,1,2,acept,not furnished
São Paulo,40,1,1,0,-,not acept,furnished
São Paulo,60,2,2,1,6,acept,not furnished
Porto Alegre,64,1,1,1,6,acept,not furnished
Rio de Janeiro,80,2,1,1,3,acept,furnished
São Paulo,45,1,1,1,-,not acept,not furnished
São Paulo,60,2,2,1,22,not acept,furnished
São Paulo,277,3,2,1,11,acept,not furnished
São Paulo,57,1,1,0,6,acept,furnished
São Paulo,23,1,1,1,26,acept,not furnished
São Paulo,73,3,2,2,4,acept,not furnished
São Paulo,36,1,1,0,9,acept,not furnished
Belo Horizonte,88,2,3,2,8,not acept,not furnished
São Paulo,197,4,3,1,3,acept,not furnished
Belo Horizonte,175,3,2,2,9,acept,not furnished
São Paulo,400,4,4,4,9,acept,not furnished
São Paulo,260,3,4,3,-,acept,not furnished
Rio de Janeiro,80,2,1,0,3,not acept,not furnished
São Paulo,190,3,3,4,-,acept,furnished
Rio de Janeiro,65,1,1,0,1,acept,not furnished
São Paulo,50,1,1,0,-,not acept,not furnished
São Paulo,136,3,3,2,8,not acept,furnished
São Paulo,96,3,3,2,8,acept,not furnished
Belo Horizonte,155,4,1,2,4,acept,not furnished
São Paulo,384,5,5,3,13,acept,not furnished
Rio de Janeiro,144,3,2,0,2,acept,furnished
São Paulo,135,3,3,2,7,not acept,not furnished
São Paulo,25,1,1,0,-,not acept,not furnished
Rio de Janeiro,55,2,1,0,4,acept,not furnished
São Paulo,250,3,3,2,-,not acept,furnished
São Paulo,66,2,1,1,5,not acept,not furnished
Belo Horizonte,240,4,4,6,13,not acept,not furnished
São Paulo,176,4,5,0,1,acept,furnished
Rio de Janeiro,88,3,2,1,6,acept,not furnished
Rio de Janeiro,70,2,1,1,9,acept,not furnished
São Paulo,127,2,2,3,-,acept,not furnished
São Paulo,201,3,5,3,2,not acept,furnished
Campinas,60,2,1,1,8,not acept,furnished
São Paulo,42,1,1,1,7,not acept,furnished
Porto Alegre,65,2,1,1,2,acept,not furnished
Belo Horizonte,20,1,1,1,-,acept,furnished
Rio de Janeiro,118,3,2,0,4,not acept,not furnished
São Paulo,98,3,5,1,10,acept,not furnished
São Paulo,505,3,5,0,12,not acept,not furnished
Rio de Janeiro,110,3,1,2,7,acept,not furnished
Porto Alegre,75,2,2,1,3,acept,furnished
São Paulo,50,1,1,0,-,not acept,not furnished
Porto Alegre,93,2,1,0,4,not acept,not furnished
São Paulo,230,4,6,4,12,acept,not furnished
Belo Horizonte,300,4,3,3,8,acept,not furnished
Belo Horizonte,80,3,2,2,8,acept,not furnished
São Paulo,144,4,4,4,3,acept,not furnished
São Paulo,299,3,3,3,1,acept,not furnished
São Paulo,168,4,3,3,5,acept,not furnished
Rio de Janeiro,120,3,2,0,7,acept,not furnished
São Paulo,135,3,2,1,-,acept,not furnished
Rio de Janeiro,39,1,1,0,3,acept,not furnished
São Paulo,211,2,2,2,-,acept,not furnished
Porto Alegre,160,2,3,2,-,acept,furnished
São Paulo,60,2,1,1,5,acept,not furnished
Campinas,45,1,1,1,9,not acept,furnished
São Paulo,120,3,3,2,-,acept,not furnished
Campinas,136,4,5,3,6,acept,furnished
São Paulo,140,2,2,2,8,acept,furnished
São Paulo,380,4,5,4,5,acept,furnished
São Paulo,62,2,1,1,13,acept,not furnished
São Paulo,35,1,1,1,5,not acept,furnished
São Paulo,100,4,3,0,4,acept,furnished
Campinas,60,1,1,1,-,acept,not furnished
Rio de Janeiro,95,2,1,0,-,acept,not furnished
São Paulo,25,1,1,0,1,not acept,not furnished
Belo Horizonte,255,3,2,4,-,not acept,not furnished
Campinas,180,3,3,3,7,acept,not furnished
São Paulo,59,2,1,1,12,acept,not furnished
São Paulo,420,3,3,4,7,acept,not furnished
São Paulo,125,3,3,3,1,acept,not furnished
São Paulo,80,2,1,0,1,acept,not furnished
Campinas,37,1,1,0,4,not acept,furnished
São Paulo,110,3,3,2,18,acept,not furnished
São Paulo,150,4,2,2,-,acept,not furnished
Rio de Janeiro,31,1,1,0,5,not acept,not furnished
Belo Horizonte,100,3,2,1,5,acept,not furnished
São Paulo,100,2,2,0,1,not acept,not furnished
Rio de Janeiro,56,2,2,0,1,not acept,furnished
Belo Horizonte,75,3,1,1,1,not acept,not furnished
São Paulo,166,2,1,5,-,acept,furnished
Porto Alegre,129,3,3,0,2,acept,not furnished
São Paulo,80,3,1,0,-,acept,not furnished
São Paulo,204,3,2,2,2,acept,not furnished
São Paulo,303,3,3,4,4,acept,furnished
São Paulo,221,4,4,4,17,not acept,not furnished
Porto Alegre,75,3,1,0,3,acept,not furnished
Campinas,44,1,1,0,4,acept,not furnished
São Paulo,50,2,1,1,8,acept,not furnished
São Paulo,95,3,3,2,16,not acept,furnished
Porto Alegre,75,2,1,0,10,acept,furnished
São Paulo,48,1,1,1,6,acept,not furnished
Belo Horizonte,114,3,2,2,8,not acept,not furnished
Campinas,75,2,2,2,6,acept,not furnished
São Paulo,220,3,3,2,14,not acept,furnished
São Paulo,100,4,3,2,2,acept,not furnished
Rio de Janeiro,380,3,4,3,13,not acept,furnished
Rio de Janeiro,50,1,1,0,8,not acept,furnished
Belo Horizonte,50,2,1,0,-,not acept,not furnished
Rio de Janeiro,80,2,1,1,5,acept,not furnished
Belo Horizonte,45,1,1,1,2,not acept,furnished
São Paulo,250,3,3,2,7,acept,not furnished
São Paulo,44,1,1,1,6,not acept,not furnished
São Paulo,50,2,1,1,3,acept,not furnished
São Paulo,156,3,4,2,2,acept,not furnished
São Paulo,42,1,1,1,2,acept,not furnished
Campinas,570,4,6,5,-,acept,not furnished
Campinas,67,2,1,0,-,acept,not furnished
São Paulo,264,4,4,6,-,acept,not furnished
São Paulo,350,3,4,4,-,acept,not furnished
São Paulo,54,2,2,1,12,acept,not furnished
Rio de Janeiro,400,2,2,1,7,acept,not furnished
Belo Horizonte,420,4,3,8,-,acept,not furnished
Belo Horizonte,50,1,1,0,1,acept,not furnished
São Paulo,93,2,1,1,1,acept,not furnished
São Paulo,350,4,4,2,-,acept,not furnished
São Paulo,135,3,3,2,14,acept,furnished
São Paulo,32,1,1,0,1,not acept,not furnished
Rio de Janeiro,52,1,1,1,3,acept,furnished
São Paulo,250,3,4,2,10,acept,not furnished
São Paulo,60,1,2,2,6,acept,not furnished
Campinas,109,3,1,1,11,acept,not furnished
São Paulo,200,3,3,1,8,acept,not furnished
São Paulo,38,1,1,1,13,acept,furnished
Porto Alegre,30,1,1,1,1,not acept,furnished
São Paulo,215,3,4,4,10,acept,not furnished
São Paulo,340,4,6,4,6,acept,not furnished
Rio de Janeiro,30,1,1,0,4,acept,furnished
São Paulo,850,4,4,8,-,acept,not furnished
São Paulo,90,3,2,1,9,acept,not furnished
São Paulo,180,3,4,4,22,acept,not furnished
Rio de Janeiro,60,1,1,1,1,acept,not furnished
São Paulo,50,2,1,1,7,acept,not furnished
São Paulo,280,3,3,2,-,acept,not furnished
São Paulo,48,1,1,1,3,acept,not furnished
São Paulo,42,1,1,0,6,acept,furnished
Campinas,210,3,3,0,-,acept,not furnished
Campinas,70,2,2,1,-,acept,not furnished
Belo Horizonte,100,3,2,0,-,not acept,not furnished
São Paulo,520,4,6,4,-,acept,not furnished
São Paulo,253,3,3,4,3,acept,not furnished
Belo Horizonte,60,1,1,0,8,acept,not furnished
São Paulo,210,3,2,3,-,acept,not furnished
São Paulo,66,2,1,1,3,acept,not furnished
São Paulo,190,3,3,4,-,acept,furnished
São Paulo,17,1,1,0,1,not acept,furnished
Rio de Janeiro,157,3,2,1,2,acept,not furnished
Belo Horizonte,40,1,1,2,11,acept,not furnished
Belo Horizonte,100,3,2,2,11,acept,not furnished
Campinas,238,4,5,4,10,acept,furnished
Belo Horizonte,102,3,2,2,6,acept,not furnished
Campinas,188,2,3,8,-,acept,not furnished
São Paulo,50,1,1,0,-,not acept,not furnished
São Paulo,250,3,3,2,3,acept,not furnished
Rio de Janeiro,139,2,2,1,10,acept,furnished
Porto Alegre,125,3,2,2,3,acept,furnished
São Paulo,40,1,1,0,-,not acept,not furnished
São Paulo,65,2,2,1,15,not acept,furnished
Campinas,68,3,2,2,9,acept,not furnished
São Paulo,85,2,1,0,1,acept,not furnished
São Paulo,200,2,5,2,2,not acept,furnished
Rio de Janeiro,94,3,1,1,7,acept,furnished
Porto Alegre,38,1,1,1,9,acept,not furnished
Campinas,105,3,2,2,-,acept,not furnished
Porto Alegre,67,1,1,0,2,acept,not furnished
São Paulo,104,3,3,2,3,not acept,furnished
São Paulo,50,2,1,1,12,acept,not furnished
Rio de Janeiro,145,3,3,0,5,acept,not furnished
São Paulo,225,3,2,2,-,acept,not furnished
São Paulo,20,1,1,0,6,acept,furnished
São Paulo,170,4,5,3,14,acept,furnished
São Paulo,30,1,1,1,7,not acept,not furnished
Belo Horizonte,75,3,1,1,4,acept,not furnished
Campinas,75,2,2,1,11,acept,not furnished
São Paulo,250,4,4,3,6,acept,not furnished
São Paulo,120,3,2,0,1,acept,not furnished
Rio de Janeiro,45,1,1,0,6,acept,not furnished
Rio de Janeiro,225,4,4,3,7,not acept,not furnished
São Paulo,245,4,5,4,19,acept,furnished
Porto Alegre,50,1,1,0,10,acept,not furnished
São Paulo,350,3,4,2,-,acept,furnished
Rio de Janeiro,117,3,4,1,2,acept,not furnished
Belo Horizonte,80,1,2,0,2,acept,not furnished
São Paulo,340,3,4,5,20,acept,not furnished
São Paulo,60,2,1,0,3,acept,not furnished
São Paulo,250,3,2,8,-,acept,not furnished
São Paulo,45,1,1,0,-,not acept,not furnished
São Paulo,57,2,1,1,3,acept,not furnished
São Paulo,30,1,1,1,8,not acept,furnished
Campinas,70,2,2,1,9,acept,not furnished
São Paulo,55,2,2,1,5,acept,not furnished
São Paulo,35,1,1,0,-,not acept,not furnished
São Paulo,75,3,2,2,3,acept,not furnished
São Paulo,156,3,3,5,-,not acept,not furnished
Belo Horizonte,90,2,1,1,4,acept,not furnished
Rio de Janeiro,90,3,2,2,2,acept,furnished
Rio de Janeiro,200,3,2,2,3,acept,not furnished
São Paulo,86,2,1,1,1,acept,not furnished
São Paulo,60,1,1,1,19,acept,not furnished
Porto Alegre,50,1,1,0,1,acept,not furnished
São Paulo,108,3,2,2,6,acept,not furnished
São Paulo,48,1,1,1,3,acept,not furnished
São Paulo,100,3,2,1,9,acept,furnished
Campinas,48,1,1,0,4,not acept,not furnished
Porto Alegre,67,2,1,1,8,acept,not furnished
Rio de Janeiro,120,3,3,0,6,not acept,furnished
São Paulo,250,4,4,3,-,acept,not furnished
São Paulo,49,1,1,1,5,acept,not furnished
São Paulo,140,1,2,2,1,not acept,furnished
São Paulo,105,2,1,2,5,acept,furnished
Porto Alegre,60,2,1,1,3,acept,not furnished
São Paulo,300,4,2,4,27,acept,not furnished
São Paulo,93,2,2,1,2,acept,not furnished
São Paulo,72,2,2,1,1,acept,not furnished
Campinas,60,2,1,1,3,acept,not furnished
São Paulo,250,3,4,4,-,acept,furnished
Rio de Janeiro,160,4,3,1,4,acept,furnished
São Paulo,104,2,2,1,6,not acept,furnished
Porto Alegre,66,2,1,1,1,acept,not furnished
Belo Horizonte,148,2,3,3,12,acept,not furnished
São Paulo,1000,4,2,8,-,acept,not furnished
Campinas,120,4,2,1,-,acept,not furnished
Porto Alegre,100,3,3,1,5,not acept,not furnished
Rio de Janeiro,114,2,2,1,7,not acept,not furnished
São Paulo,153,3,4,3,17,acept,furnished
São Paulo,164,3,4,2,13,acept,not furnished
São Paulo,65,2,2,1,-,acept,not furnished
Campinas,270,4,5,0,-,not acept,not furnished
São Paulo,225,4,6,4,4,acept,not furnished
Rio de Janeiro,124,4,2,1,2,acept,not furnished
São Paulo,68,3,1,2,4,acept,not furnished
São Paulo,96,3,3,2,1,acept,not furnished
São Paulo,210,4,4,3,-,acept,furnished
São Paulo,750,4,5,6,-,acept,not furnished
São Paulo,70,2,2,2,11,not acept,furnished
Rio de Janeiro,15,1,1,0,-,acept,not furnished
São Paulo,33,1,1,1,13,not acept,furnished
Belo Horizonte,311,4,3,3,20,not acept,not furnished
São Paulo,160,3,2,1,5,acept,not furnished
São Paulo,158,3,3,2,8,acept,furnished
Campinas,62,2,1,1,3,acept,not furnished
Belo Horizonte,105,3,2,1,3,not acept,not furnished
São Paulo,250,3,4,2,5,acept,furnished
Porto Alegre,47,1,1,1,1,not acept,furnished
São Paulo,90,3,2,0,9,acept,not furnished
São Paulo,295,4,4,4,21,acept,not furnished
São Paulo,133,4,3,0,1,acept,not furnished
São Paulo,220,5,5,4,22,acept,not furnished
São Paulo,70,2,1,1,14,acept,not furnished
Belo Horizonte,101,3,2,2,2,acept,not furnished
Belo Horizonte,320,3,2,5,1,acept,not furnished
Belo Horizonte,802,6,6,8,-,acept,furnished
Rio de Janeiro,28,1,1,0,11,not acept,furnished
Porto Alegre,35,1,1,0,2,acept,not furnished
São Paulo,115,3,1,2,5,acept,not furnished
Rio de Janeiro,70,2,2,1,10,acept,furnished
Rio de Janeiro,157,3,3,2,10,acept,not furnished
São Paulo,40,1,1,0,-,not acept,not furnished
Rio de Janeiro,205,2,2,0,12,acept,furnished
Belo Horizonte,75,3,2,1,2,acept,not furnished
São Paulo,126,3,2,2,5,acept,not furnished
São Paulo,19,1,1,0,-,not acept,not furnished
São Paulo,130,3,2,2,1,acept,furnished
São Paulo,360,5,4,0,7,not acept,not furnished
São Paulo,102,2,1,0,1,acept,not furnished
São Paulo,290,3,3,1,5,acept,not furnished
São Paulo,47,2,1,1,1,not acept,not furnished
São Paulo,130,2,1,1,1,acept,not furnished
Porto Alegre,75,3,2,1,2,acept,not furnished
Rio de Janeiro,84,2,1,0,2,acept,not furnished
São Paulo,25,1,1,1,16,not acept,furnished
São Paulo,36,1,1,0,3,acept,furnished
Belo Horizonte,260,4,3,3,4,acept,furnished
Rio de Janeiro,140,4,3,1,8,acept,not furnished
São Paulo,400,4,3,2,-,acept,not furnished
São Paulo,47,1,1,0,2,acept,not furnished
Rio de Janeiro,240,4,4,2,2,acept,furnished
São Paulo,800,4,2,6,-,acept,furnished
São Paulo,160,3,4,2,3,acept,not furnished
Rio de Janeiro,103,3,1,0,2,acept,not furnished
São Paulo,55,2,2,1,17,not acept,not furnished
São Paulo,300,4,4,5,11,acept,not furnished
São Paulo,67,1,1,1,1,acept,not furnished
São Paulo,175,3,5,3,15,acept,not furnished
Rio de Janeiro,100,2,3,1,7,acept,furnished
Campinas,80,3,1,0,6,acept,not furnished
Rio de Janeiro,60,2,1,1,4,acept,not furnished
Rio de Janeiro,154,3,2,0,2,acept,furnished
São Paulo,120,3,3,3,11,acept,not furnished
Campinas,160,2,1,2,-,acept,not furnished
Belo Horizonte,105,3,2,2,3,acept,not furnished
São Paulo,110,2,2,0,-,not acept,furnished
Rio de Janeiro,58,1,1,1,11,acept,not furnished
São Paulo,60,3,1,0,3,acept,not furnished
Rio de Janeiro,80,2,1,0,2,not acept,not furnished
Porto Alegre,35,1,1,0,1,acept,not furnished
São Paulo,22,1,1,0,1,not acept,furnished
Porto Alegre,93,3,1,0,1,not acept,not furnished
Belo Horizonte,263,3,4,4,15,acept,not furnished
São Paulo,150,3,1,2,-,acept,not furnished
São Paulo,20,1,1,0,5,acept,furnished
São Paulo,250,4,2,1,-,acept,furnished
São Paulo,510,4,6,4,9,acept,furnished
São Paulo,57,2,2,2,10,acept,not furnished
Campinas,58,2,1,1,1,acept,furnished
Belo Horizonte,200,3,3,1,2,acept,not furnished
São Paulo,387,4,6,4,1,acept,not furnished
Rio de Janeiro,200,4,2,2,-,acept,not furnished
Porto Alegre,52,2,1,1,4,not acept,not furnished
São Paulo,275,3,3,1,11,acept,furnished
Rio de Janeiro,76,2,2,2,8,acept,not furnished
São Paulo,70,1,2,6,-,acept,not furnished
Porto Alegre,68,3,2,1,4,acept,furnished
São Paulo,108,2,2,1,9,acept,not furnished
Porto Alegre,114,3,1,0,3,acept,not furnished
Porto Alegre,90,2,2,1,2,acept,not furnished
Rio de Janeiro,20,1,1,0,5,acept,not furnished
Belo Horizonte,51,3,1,1,2,acept,not furnished
Belo Horizonte,550,5,5,3,-,acept,not furnished
Porto Alegre,36,1,1,1,4,acept,not furnished
São Paulo,230,3,4,4,6,not acept,not furnished
São Paulo,35,1,1,1,-,acept,not furnished
Porto Alegre,700,8,8,4,-,acept,not furnished
São Paulo,140,3,2,1,1,acept,furnished
Porto Alegre,77,2,2,2,4,acept,not furnished
São Paulo,75,2,1,1,2,acept,not furnished
Porto Alegre,110,4,1,1,3,acept,not furnished
Rio de Janeiro,29,1,1,0,2,acept,furnished
Rio de Janeiro,84,3,1,1,3,acept,not furnished
São Paulo,132,3,5,2,13,not acept,furnished
Rio de Janeiro,170,2,2,1,7,acept,not furnished
Porto Alegre,26,1,1,0,1,acept,not furnished
Campinas,73,3,1,1,4,acept,not furnished
Belo Horizonte,114,2,2,1,3,acept,not furnished
Rio de Janeiro,68,2,2,1,16,acept,not furnished
Campinas,82,1,1,1,-,acept,not furnished
Belo Horizonte,30,1,1,0,1,not acept,not furnished
Porto Alegre,69,2,2,1,9,acept,not furnished
São Paulo,33,1,1,1,19,not acept,furnished
São Paulo,84,2,2,1,14,acept,not furnished
Campinas,620,5,6,4,17,acept,not furnished
São Paulo,90,3,2,1,10,acept,not furnished
São Paulo,284,4,5,5,-,acept,not furnished
Campinas,268,3,4,4,-,acept,not furnished
São Paulo,100,3,4,4,-,acept,not furnished
Rio de Janeiro,24,1,1,1,11,acept,not furnished
São Paulo,64,2,1,1,24,not acept,not furnished
São Paulo,34,1,1,1,14,acept,not furnished
Rio de Janeiro,86,2,1,0,3,acept,furnished
São Paulo,54,1,1,1,18,acept,not furnished
Belo Horizonte,128,3,2,2,2,acept,not furnished
Belo Horizonte,250,2,3,2,-,acept,not furnished
Campinas,295,7,6,4,-,not acept,furnished
Rio de Janeiro,80,3,2,1,8,acept,not furnished
São Paulo,500,3,3,5,-,acept,furnished
São Paulo,120,1,2,0,-,acept,not furnished
Campinas,136,3,2,1,6,acept,not furnished
Rio de Janeiro,170,3,2,2,13,acept,furnished
Belo Horizonte,386,3,4,8,-,acept,not furnished
São Paulo,19,1,1,0,-,not acept,not furnished
São Paulo,550,4,6,4,1,acept,furnished
São Paulo,384,3,5,3,-,acept,not furnished
Porto Alegre,48,1,1,0,4,acept,not furnished
São Paulo,98,2,1,1,4,acept,not furnished
Belo Horizonte,50,2,1,1,1,acept,not furnished
São Paulo,53,2,2,1,9,not acept,not furnished
São Paulo,32,1,1,0,1,acept,not furnished
São Paulo,47,1,2,1,11,acept,not furnished
São Paulo,65,2,1,1,3,acept,not furnished
São Paulo,56,1,1,2,7,not acept,furnished
Rio de Janeiro,140,2,2,1,5,not acept,not furnished
São Paulo,45,1,1,0,1,not acept,not furnished
Rio de Janeiro,21,1,1,0,11,acept,not furnished
São Paulo,70,2,2,0,2,acept,furnished
São Paulo,120,2,3,2,5,acept,furnished
Rio de Janeiro,90,2,2,0,5,acept,not furnished
Porto Alegre,25,1,1,0,3,acept,not furnished
São Paulo,198,4,2,0,-,acept,not furnished
Rio de Janeiro,80,2,2,1,4,not acept,furnished
São Paulo,40,1,1,1,5,not acept,not furnished
Belo Horizonte,53,2,1,1,2,acept,not furnished
Rio de Janeiro,75,2,2,1,8,acept,not furnished
Rio de Janeiro,60,2,1,0,2,acept,not furnished
São Paulo,142,3,2,2,6,acept,furnished
Rio de Janeiro,160,3,2,2,3,acept,not furnished
Rio de Janeiro,26,1,1,0,9,acept,not furnished
São Paulo,81,1,1,1,8,acept,not furnished
Rio de Janeiro,50,1,1,0,2,acept,furnished
Belo Horizonte,62,2,1,1,3,acept,not furnished
Belo Horizonte,55,1,1,0,-,not acept,not furnished
São Paulo,298,4,6,5,-,acept,furnished
Campinas,55,2,1,1,1,acept,not furnished
Rio de Janeiro,82,2,1,1,2,acept,not furnished
São Paulo,40,1,1,1,10,not acept,furnished
Belo Horizonte,106,3,2,2,8,acept,not furnished
São Paulo,335,4,5,5,7,acept,not furnished
São Paulo,60,2,2,1,10,acept,not furnished
São Paulo,128,3,2,1,5,acept,not furnished
São Paulo,250,3,2,4,-,acept,not furnished
São Paulo,500,4,4,5,-,acept,furnished
São Paulo,120,3,3,2,-,acept,not furnished
São Paulo,300,4,4,4,3,acept,not furnished
Rio de Janeiro,33,1,1,0,2,not acept,furnished
São Paulo,177,3,3,4,-,acept,not furnished
Rio de Janeiro,126,3,2,1,6,acept,not furnished
São Paulo,287,4,5,4,5,acept,not furnished
São Paulo,250,3,4,4,-,acept,not furnished
Belo Horizonte,200,3,3,3,-,acept,furnished
Belo Horizonte,235,4,2,4,-,acept,not furnished
São Paulo,247,3,4,5,-,acept,furnished
São Paulo,100,2,1,0,-,acept,not furnished
Rio de Janeiro,230,3,2,1,-,acept,not furnished
São Paulo,350,4,5,4,-,acept,furnished
São Paulo,600,4,6,5,13,acept,not furnished
São Paulo,187,3,2,3,-,not acept,furnished
Rio de Janeiro,32,1,1,0,4,acept,not furnished
São Paulo,40,1,1,0,-,acept,not furnished
São Paulo,20,1,1,0,1,not acept,not furnished
São Paulo,250,5,4,3,-,acept,not furnished
São Paulo,210,4,4,4,8,not acept,not furnished
Campinas,46,1,1,1,5,acept,furnished
São Paulo,104,3,3,2,8,not acept,not furnished
São Paulo,32,1,1,0,6,acept,not furnished
Porto Alegre,115,3,2,2,4,acept,not furnished
São Paulo,64,2,1,1,8,acept,furnished
São Paulo,280,4,6,5,28,acept,not furnished
São Paulo,80,2,1,1,6,acept,not furnished
São Paulo,98,2,2,0,8,acept,not furnished
São Paulo,70,2,2,1,2,acept,not furnished
Campinas,40,1,1,1,1,acept,not furnished
Campinas,200,3,2,3,-,acept,not furnished
Campinas,600,4,6,3,-,acept,not furnished
São Paulo,65,2,2,1,20,acept,furnished
São Paulo,320,4,5,3,-,acept,not furnished
São Paulo,50,2,1,1,2,not acept,not furnished
Porto Alegre,42,1,1,1,1,acept,furnished
Porto Alegre,71,2,1,0,-,acept,not furnished
São Paulo,50,1,1,0,2,not acept,not furnished
Belo Horizonte,160,3,3,2,2,acept,not furnished
Porto Alegre,70,2,1,0,3,acept,not furnished
São Paulo,187,3,4,3,14,acept,not furnished
São Paulo,186,4,5,4,11,acept,not furnished
Campinas,76,2,1,0,2,acept,not furnished
São Paulo,50,2,1,1,2,not acept,furnished
São Paulo,260,4,5,4,9,acept,furnished
Belo Horizonte,200,4,3,2,-,acept,not furnished
São Paulo,35,1,1,0,18,acept,not furnished
São Paulo,130,2,2,2,3,acept,not furnished
São Paulo,20,1,1,0,-,acept,furnished
Porto Alegre,78,2,1,0,2,acept,not furnished
Porto Alegre,50,2,1,0,-,not acept,not furnished
Belo Horizonte,476,3,2,2,-,not acept,not furnished
São Paulo,68,2,2,1,18,acept,not furnished
Rio de Janeiro,110,2,2,1,14,acept,not furnished
São Paulo,52,2,2,1,5,not acept,furnished
São Paulo,360,3,5,3,14,not acept,not furnished
Campinas,70,3,2,1,3,acept,furnished
Belo Horizonte,500,4,4,6,-,acept,not furnished
Porto Alegre,96,3,1,0,2,acept,not furnished
São Paulo,54,2,2,1,11,acept,not furnished
São Paulo,41,1,1,1,16,acept,furnished
Rio de Janeiro,130,3,2,1,5,acept,not furnished
São Paulo,87,2,2,1,4,acept,not furnished
São Paulo,340,3,5,5,-,acept,not furnished
Rio de Janeiro,120,3,1,1,2,acept,not furnished
São Paulo,90,2,1,2,-,acept,not furnished
São Paulo,55,1,1,1,14,not acept,furnished
Belo Horizonte,160,3,2,2,4,not acept,not furnished
Belo Horizonte,30,1,1,1,1,not acept,not furnished
Belo Horizonte,103,3,2,1,3,not acept,not furnished
Belo Horizonte,45,1,1,1,7,not acept,not furnished
São Paulo,300,4,3,8,-,acept,not furnished
São Paulo,72,2,2,2,7,acept,not furnished
Porto Alegre,70,3,2,0,2,acept,furnished
Rio de Janeiro,133,1,2,1,6,acept,furnished
São Paulo,50,2,1,0,3,acept,furnished
Porto Alegre,69,3,1,1,5,acept,not furnished
Porto Alegre,42,1,2,1,6,acept,not furnished
Belo Horizonte,55,2,2,1,5,acept,not furnished
São Paulo,117,3,2,2,10,acept,furnished
São Paulo,56,2,1,1,13,acept,not furnished
Rio de Janeiro,50,1,1,1,5,acept,not furnished
São Paulo,450,4,6,4,-,acept,not furnished
São Paulo,62,3,1,1,8,acept,not furnished
São Paulo,300,5,3,1,-,acept,not furnished
São Paulo,141,3,3,1,1,acept,furnished
Porto Alegre,44,1,1,0,1,not acept,not furnished
Rio de Janeiro,40,1,1,0,3,acept,not furnished
São Paulo,230,2,1,8,-,acept,not furnished
São Paulo,278,4,3,3,3,acept,not furnished
São Paulo,35,1,1,0,-,acept,not furnished
São Paulo,130,3,2,2,-,acept,not furnished
São Paulo,264,4,4,4,9,acept,not furnished
Belo Horizonte,93,3,2,0,17,acept,not furnished
São Paulo,69,3,2,2,6,not acept,not furnished
Rio de Janeiro,72,2,1,1,7,acept,not furnished
São Paulo,66,2,1,1,5,not acept,not furnished
São Paulo,44,1,1,1,1,acept,not furnished
Belo Horizonte,227,3,4,1,12,not acept,not furnished
Porto Alegre,100,2,1,1,3,acept,furnished
São Paulo,90,2,2,0,2,not acept,not furnished
São Paulo,20,1,1,0,-,acept,furnished
São Paulo,70,1,1,1,2,not acept,furnished
São Paulo,135,2,3,3,8,acept,furnished
São Paulo,450,4,4,6,-,acept,not furnished
São Paulo,217,3,1,1,-,acept,furnished
São Paulo,300,4,5,4,7,not acept,not furnished
São Paulo,84,2,2,0,12,not acept,not furnished
Porto Alegre,272,3,4,3,-,not acept,not furnished
São Paulo,43,2,1,1,16,acept,not furnished
São Paulo,400,4,4,0,-,acept,not furnished
Porto Alegre,48,1,1,0,2,acept,not furnished
Porto Alegre,71,2,2,1,2,acept,not furnished
São Paulo,100,6,7,5,-,acept,not furnished
São Paulo,225,4,2,2,11,acept,not furnished
São Paulo,280,3,2,0,7,acept,not furnished
Belo Horizonte,62,2,1,1,2,acept,not furnished
São Paulo,330,5,3,6,-,acept,not furnished
São Paulo,90,3,2,1,2,acept,not furnished
São Paulo,60,2,1,1,7,acept,not furnished
Rio de Janeiro,67,3,2,0,1,not acept,not furnished
São Paulo,287,4,5,3,-,acept,not furnished
São Paulo,156,3,2,1,-,acept,not furnished
São Paulo,273,4,4,2,4,not acept,not furnished
São Paulo,320,3,3,4,-,acept,not furnished
Porto Alegre,330,3,4,2,-,acept,furnished
São Paulo,50,1,1,1,-,acept,not furnished
Rio de Janeiro,15,1,1,0,4,not acept,not furnished
